DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
04/30/2012;07:36:01;44;6841.49;6839.19;6838.76;6841.49
04/30/2012;07:37:01;40;6839.01;6838.23;6837.54;6839.66
04/30/2012;07:38:01;52;6838.32;6831.04;6829.69;6838.32
04/30/2012;07:39:01;43;6831.02;6833.82;6830.8;6834.69
04/30/2012;07:40:01;48;6833.71;6829.9;6828.25;6834.01
04/30/2012;07:41:01;37;6829.8;6834.32;6829.59;6834.32
04/30/2012;07:42:01;46;6834.6;6835.14;6833.2;6836.51
04/30/2012;07:43:01;42;6834.9;6835.8;6833.55;6835.87
04/30/2012;07:44:01;39;6835.81;6836.39;6835.53;6837.28
04/30/2012;07:45:01;36;6836.49;6835.46;6834.42;6836.49
04/30/2012;07:46:01;44;6835.6;6839.59;6835.6;6840.03
04/30/2012;07:47:01;34;6839.59;6841.76;6839.06;6842.26
04/30/2012;07:48:01;40;6841.23;6840.33;6839.33;6841.85
04/30/2012;07:49:01;40;6840.41;6844.85;6840.4;6844.86
04/30/2012;07:50:01;41;6844.87;6842.61;6842.33;6845.01
04/30/2012;07:51:01;49;6842.8;6840.49;6840.11;6842.8
04/30/2012;07:52:01;41;6840.6;6836.01;6835.83;6840.71
04/30/2012;07:53:01;43;6836.03;6835.03;6832.55;6836.19
04/30/2012;07:54:01;39;6835.08;6834.73;6834.46;6836.54
04/30/2012;07:55:01;44;6834.67;6833.75;6833.44;6835.2
04/30/2012;07:56:01;55;6833.51;6823.3;6822.33;6833.76
04/30/2012;07:57:01;41;6823.77;6826.93;6823.77;6826.93
04/30/2012;07:58:01;36;6827.02;6826.87;6826.49;6827.59
04/30/2012;07:59:01;48;6826.91;6816.63;6816.12;6827.47
04/30/2012;08:00:01;58;6816.64;6813.17;6811.59;6816.64
04/30/2012;08:01:01;48;6813.35;6818.93;6813.28;6820.52
04/30/2012;08:02:01;40;6819.01;6822.7;6818.33;6822.88
04/30/2012;08:03:01;48;6822.67;6821.99;6821.88;6825.24
04/30/2012;08:04:01;46;6821.54;6820.18;6819.08;6821.54
04/30/2012;08:05:01;53;6819.42;6816.12;6814.35;6819.42
04/30/2012;08:06:01;49;6816.16;6813.34;6813.09;6817.97
04/30/2012;08:07:01;51;6813.47;6810.39;6806.66;6813.49
04/30/2012;08:08:01;49;6810.41;6811.94;6808.87;6812.11
04/30/2012;08:09:01;37;6811.87;6811.63;6810.92;6812.61
04/30/2012;08:10:01;54;6812.47;6809.21;6803.62;6812.47
04/30/2012;08:11:01;40;6811.1;6812.22;6810.06;6812.4
04/30/2012;08:12:01;42;6811.71;6811.62;6809.09;6811.72
04/30/2012;08:13:01;34;6811.61;6813.02;6811.51;6813.05
04/30/2012;08:14:01;44;6813.04;6817.63;6813.04;6817.89
04/30/2012;08:15:01;43;6817.77;6815.61;6814.92;6818.05
04/30/2012;08:16:01;37;6815.79;6815.77;6814.69;6815.93
04/30/2012;08:17:01;30;6815.66;6813.34;6813.17;6815.66
04/30/2012;08:18:01;31;6813.27;6814.67;6812.78;6814.67
